date,fighter,weightclass,rank
2/4/13,Anderson Silva,Pound-for-Pound,1
2/4/13,Jon Jones,Pound-for-Pound,2
2/4/13,Georges St-Pierre,Pound-for-Pound,3
2/4/13,Jose Aldo,Pound-for-Pound,4
2/4/13,Benson Henderson,Pound-for-Pound,5
2/4/13,Cain Velasquez,Pound-for-Pound,6
2/4/13,Dominick Cruz,Pound-for-Pound,7
2/4/13,Demetrious Johnson,Pound-for-Pound,8
2/4/13,Frankie Edgar,Pound-for-Pound,9
2/4/13,Dan Henderson,Pound-for-Pound,10
2/4/13,Demetrious Johnson,Flyweight,0
2/4/13,Joseph Benavidez,Flyweight,1
2/4/13,John Dodson,Flyweight,2
2/4/13,Ian McCall,Flyweight,3
2/4/13,John Moraga,Flyweight,4
2/4/13,Jussier Da Silva,Flyweight,5
2/4/13,Louis Gaudinot,Flyweight,6
2/4/13,Chris Cariaso,Flyweight,7
2/4/13,John Lineker,Flyweight,8
2/4/13,Darren Uyenoyama,Flyweight,9
2/4/13,Ulysses Gomez,Flyweight,10
2/4/13,Dominick Cruz,Bantamweight,0
2/4/13,Renan Barao,Bantamweight,1
2/4/13,Michael McDonald,Bantamweight,2
2/4/13,Urijah Faber,Bantamweight,3
2/4/13,Eddie Wineland,Bantamweight,4
2/4/13,Brad Pickett,Bantamweight,5
2/4/13,Brian Bowles,Bantamweight,6
2/4/13,Rafael Assuncao,Bantamweight,7
2/4/13,Scott Jorgensen,Bantamweight,8
2/4/13,Mike Easton,Bantamweight,9
2/4/13,Ivan Menjivar,Bantamweight,10
2/4/13,Jose Aldo,Featherweight,0
2/4/13,Chad Mendes,Featherweight,1
2/4/13,Ricardo Lamas,Featherweight,2
2/4/13,Chan Sung Jung,Featherweight,3
2/4/13,Frankie Edgar,Featherweight,4
2/4/13,Dennis Siver,Featherweight,5
2/4/13,Cub Swanson,Featherweight,6
2/4/13,Dustin Poirier,Featherweight,7
2/4/13,Nik Lentz,Featherweight,8
2/4/13,Erik Koch,Featherweight,9
2/4/13,Clay Guida,Featherweight,10
2/4/13,Benson Henderson,Lightweight,0
2/4/13,Gilbert Melendez,Lightweight,1
2/4/13,Anthony Pettis,Lightweight,2
2/4/13,Gray Maynard,Lightweight,3
2/4/13,Nate Diaz,Lightweight,4
2/4/13,Jim Miller,Lightweight,5
2/4/13,Donald Cerrone,Lightweight,6
2/4/13,TJ Grant,Lightweight,7
2/4/13,Rafael dos Anjos,Lightweight,8
2/4/13,Joe Lauzon,Lightweight,9
2/4/13,Khabib Nurmagomedov,Lightweight,10
2/4/13,Georges St-Pierre,Welterweight,0
2/4/13,Johny Hendricks,Welterweight,1
2/4/13,Carlos Condit,Welterweight,2
2/4/13,Nick Diaz,Welterweight,3
2/4/13,Rory MacDonald,Welterweight,4
2/4/13,Demian Maia,Welterweight,5
2/4/13,Jake Ellenberger,Welterweight,6
2/4/13,Martin Kampmann,Welterweight,7
