Event_ID,Fight_ID,Date,B_ID,B_Name,B_HomeTown,B_Location,B_Age,B_Weight,R_ID,R_Name,R_HomeTown,R_Location,R_Age,R_Weight,WinningColor,Winby
646,4580,2/3/14,808,Alistair Overeem,Hounslow England,Amsterdam The Netherlands,38.0,120.0,377,Frank Mir,"Las Vegas, Nevada USA","Las Vegas, Nevada USA",39.0,119.0,blue,DEC
646,4589,2/3/14,1054,Ricardo Lamas,"Chicago, Illinois United States","Chicago, Illinois United States",36.0,65.0,1052,Jose Aldo,Manaus Brazil,Rio de Janeiro Brazil,32.0,65.0,red,DEC
646,4590,2/3/14,959,Urijah Faber,"Isla Vista , California USA","Sacramento, California USA",39.0,61.0,1527,Renan Barao,Natal Brazil,Rio de Janeiro Brazil,31.0,61.0,red,KO/TKO
646,4605,2/3/14,1056,Danny Martinez,"San Diego, CA USA","San Diego, CA USA",33.0,56.0,1253,Chris Cariaso,"San Jose, California USA","Tucson, Arizona USA",37.0,56.0,red,DEC
646,4631,2/3/14,2005,Tom Watson,Southampton England,Southampton England,36.0,84.0,464,Nick Catone,"Englewood, NJ USA","Brick, NJ USA",37.0,84.0,red,DEC
646,4642,2/3/14,2101,Alan Patrick,Amazonas Brazil,Rio de Janeiro Brazil,35.0,70.0,1675,John Makdessi,"Halifax, Nova Scotia Canada","Montreal, Quebec Canada",33.0,70.0,blue,DEC
646,4649,2/3/14,2157,Kevin Lee,"Detroit, Michigan United States","Las Vegas, Nevada United States",26.0,70.0,1983,Al Iaquinta,"Wantagh, New York United States","Wantagh, New York United States",31.0,70.0,red,DEC
646,4651,11/5/16,2158,Rashid Magomedov,Dagestan Russia,"Coconut Creek, Florida United States",33.0,70.0,2159,Tony Martin,"Palos Heights, Illinois United States","Boston, Massachusetts United States",28.0,70.0,blue,DEC
646,4652,2/3/14,2160,Gasan Umalatov,"Zinzeli, Astrakhan Oblast Russia","Zinzeli, Astrakhan Oblast Russia",36.0,77.0,2047,Neil Magny,"Brooklyn, New York United States","Denver, Colorado United States",31.0,77.0,red,DEC
646,4658,2/3/14,2084,Ali Bagautinov,Dagestan Republic Russia,Dagestan Republic Russia,33.0,56.0,1966,John Lineker,"Paranagua, Parana Brazil","Paranagua, Parana Brazil",28.0,61.0,blue,DEC
646,4662,2/3/14,2013,Abel Trujillo,"Greensboro, North Carolina United States","Boca Raton, Florida United States",35.0,70.0,530,Jamie Varner,"Phoenix, Arizona USA","Tempe, Arizona USA",33.0,70.0,blue,KO/TKO
646,4665,2/3/14,2167,Andy Enz,"Anchorage, Alaska USA","Anchorage, Alaska USA",27.0,84.0,2061,Clint Hester,"Hattiesburg, MS USA","Atlanta, GA USA",31.0,93.0,red,DEC
647,4591,2/16/14,786,Gegard Mousasi,Tehran Iran,"Leiden, Holland The Netherlands",33.0,84.0,346,Lyoto Machida,Salvador Brazil,"Balem, Brazil USA",40.0,84.0,red,DEC
647,4603,2/16/14,1883,Francis Carmont,Paris France,"Montreal, Quebec Canada",36.0,84.0,896,Jacare Souza,Espiritos Santos Brazil,Rio de Janeiro Brazil,38.0,84.0,red,DEC
647,4618,2/16/14,1982,Joe Proctor,"Quincy, Massachusetts United States","Pembroke, Massachusetts United States",33.0,77.0,774,Cristiano Marcello,Rio de Janeiro Brazil,Curitiba Brazil,40.0,70.0,blue,DEC
647,4619,2/16/14,2124,Nico Musoke,"Botkyrka, Stockholm Sweden",Stockholm Sweden,32.0,77.0,2080,Viscardi Andrade,"Jales City, Sao Paulo Brazil",São Paulo Brazil,34.0,77.0,blue,DEC
