Event_ID,B_Name,R_Name,winner,winby,Fight_ID
646,Alistair Overeem,Frank Mir,blue,DEC,4580
646,Ricardo Lamas,Jose Aldo,red,DEC,4589
646,Urijah Faber,Renan Barao,red,KO/TKO,4590
646,Danny Martinez,Chris Cariaso,red,DEC,4605
646,Tom Watson,Nick Catone,red,DEC,4631
646,Alan Patrick,John Makdessi,blue,DEC,4642
646,Kevin Lee,Al Iaquinta,red,DEC,4649
646,Rashid Magomedov,Tony Martin,blue,DEC,4651
646,Gasan Umalatov,Neil Magny,red,DEC,4652
646,Ali Bagautinov,John Lineker,blue,DEC,4658
646,Abel Trujillo,Jamie Varner,blue,KO/TKO,4662
646,Andy Enz,Clint Hester,red,DEC,4665
647,Gegard Mousasi,Lyoto Machida,red,DEC,4591
647,Francis Carmont,Jacare Souza,red,DEC,4603
647,Joe Proctor,Cristiano Marcello,blue,DEC,4618
647,Nico Musoke,Viscardi Andrade,blue,DEC,4619
647,Andy Ogle,Charles Oliveira,red,SUB,4626
647,Zubaira Tukhugov,Douglas Silva de Andrade,blue,DEC,4636
647,Ivan Jorge,Rodrigo Damm,red,DEC,4641
647,Wilson Reis,Iuri Alcantara,red,DEC,4660
647,Maximo Blanco,Felipe Arantes,red,DEC,4669
647,Takenori Sato,Erick Silva,red,KO/TKO,4683
647,Albert Tumenov,Ildemar Alcantara,red,DEC,4684
648,Hyun Gyu Lim,Tarec Saffiedine,red,DEC,4592
648,Sean Soriano,Tatsuya Kawajiri,red,SUB,4593
648,Luiz Dutra,Kiichi Kunimoto,red,KO/TKO,4594
648,Shunichi Shimizu,Kyung Ho Kang,red,SUB,4595
648,Quinn Mulhern,Katsunori Kikuno,red,DEC,4596
648,Jon Delos Reyes,Dustin Kimura,red,SUB,4620
648,Tae Hyun Bang,Mairbek Taisumov,red,DEC,4621
648,Will Chope,Max Holloway,red,KO/TKO,4622
648,Dave Galera,Royston Wee,red,DEC,4623
648,Russell Doane,Leandro Issa,blue,SUB,4663
649,Jimi Manuwa,Alexander Gustafsson,red,KO/TKO,4597
649,Ilir Latifi,Cyrille Diabate,blue,SUB,4627
649,Neil Seery,Brad Pickett,red,DEC,4643
649,Omari Akhmedov,Gunnar Nelson,red,,4644
649,Danny Mitchell,Igor Araujo,red,DEC,4645
649,Claudio Silva,Bradley Scott,blue,DEC,4653
649,Mats Nilsson,Luke Barnatt,red,KO/TKO,4654
649,Louis Gaudinot,Phil Harris,no contest,SUB,4685
650,Demian Maia,Rory MacDonald,red,DEC,4634
650,TJ Waldburger,Mike Pyle,red,KO/TKO,4646
650,Pedro Munhoz,Raphael Assuncao,red,DEC,4656
650,Stephen Thompson,Robert Whittaker,blue,KO/TKO,4657
650,Sara McMann,Ronda Rousey,red,KO/TKO,4666
